"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]"
1.0,1.0,2979.3202463301373,10382.62023890945,119.08678724651472,770.0353122106885,1.0,5.477225575051661
2.0,1.0,4100.204894233011,2199.135913877822,112.91764249054914,721.5692507058636,1.0,5.477225575051661
3.0,1.0,6443.399561444391,7453.3479599039165,113.80908486605239,743.6694093302235,1.0,5.477225575051661
4.0,1.0,7092.850638023836,7606.9637911256405,135.58233596153732,712.8056892751102,1.0,5.477225575051661
5.0,1.0,7596.501925677216,14048.102406565677,138.31247855910868,725.236543608308,1.0,5.477225575051661
6.0,1.0,8041.783091523361,3897.7601383940455,142.44135990012848,892.2184153808525,1.0,5.477225575051661
7.0,1.0,8074.965054780862,11641.560592976186,120.12044034486456,710.6537988921145,1.0,5.477225575051661
8.0,1.0,8118.832491091027,15886.20606278638,125.24407269279595,795.8979485043628,1.0,5.477225575051661
9.0,1.0,8380.62114423308,14534.121074377452,117.11662103919251,709.1149589976922,1.0,5.477225575051661
10.0,1.0,8610.15771736651,7496.278912204196,97.24495970840572,848.5018708022283,1.0,5.477225575051661
11.0,1.0,9022.790560695856,4170.432714117892,132.66871171081243,847.8258640532022,1.0,5.477225575051661
12.0,1.0,9048.11503735951,8934.537828809755,133.25925381013928,755.0957231352876,1.0,5.477225575051661
13.0,1.0,10547.332393063465,2628.6236539639413,86.50524118142202,873.660981502256,1.0,5.477225575051661
14.0,1.0,12456.604951158793,6087.087283844984,137.59975202717655,728.041572720099,1.0,5.477225575051661
15.0,1.0,12674.263852580129,4707.660098969534,91.02701095160666,754.7029892990378,1.0,5.477225575051661
16.0,1.0,13963.440137510735,6551.804110249713,111.38959128120258,828.0669574061928,1.0,5.477225575051661
17.0,1.0,14770.007265497088,11077.693009644365,143.67868130491266,866.4357242009002,1.0,5.477225575051661
18.0,1.0,14896.086895543998,709.7510679115658,143.62965392736703,729.4583233928767,1.0,5.477225575051661
19.0,1.0,14984.793681433684,5032.040270990973,105.85269720823398,711.3071736617223,1.0,5.477225575051661
20.0,1.0,14969.939195420002,12207.05254562627,119.83614725595186,830.5034575553505,1.0,5.477225575051661
21.0,1.0,15131.201719322311,6733.333765056672,119.23826574726364,704.2517114761399,1.0,5.477225575051661
22.0,1.0,16256.983925847575,2441.5274608099967,122.16188643559357,747.7994096504533,1.0,5.477225575051661
23.0,2.0,929.7242847425155,14798.589866897544,120.13890749921585,729.4125093491816,1.0,5.477225575051661
24.0,2.0,973.2147738379823,12357.088556928118,147.20342892644655,760.1542070907773,1.0,5.477225575051661
25.0,2.0,2885.1817554508207,11613.846531395833,128.617311913251,768.1149843022949,1.0,5.477225575051661
26.0,2.0,2887.168035018836,12926.645852867345,112.48151269050118,748.7825451744355,1.0,5.477225575051661
27.0,2.0,3266.3852510033053,14701.156013613687,107.93397049310656,817.680335273659,1.0,5.477225575051661
28.0,2.0,3610.0751780572923,8119.548620032303,105.85485938629756,792.6877601093715,1.0,5.477225575051661
29.0,2.0,5546.61591557236,12046.817945072646,93.17119403472276,848.0198088650222,1.0,5.477225575051661
30.0,2.0,6773.898309817668,13131.998175342025,137.42823731723814,785.5256864714631,1.0,5.477225575051661
31.0,2.0,7201.439793562338,4173.147582121911,89.28258257501739,808.9956210815928,1.0,5.477225575051661
32.0,2.0,9718.000428640447,6439.624777865927,138.7496081438466,832.8678829584591,1.0,5.477225575051661
33.0,2.0,9943.230358825193,14652.163453899977,105.3962474124626,788.1100569961491,1.0,5.477225575051661
34.0,2.0,10104.38692432163,8830.283744624456,104.24528353541012,779.7880815565718,1.0,5.477225575051661
35.0,2.0,10226.364288287657,14887.290776595248,121.42182409217183,779.7941232600251,1.0,5.477225575051661
36.0,2.0,10558.913462700646,11759.617005130127,115.61848906862699,869.2492003432983,1.0,5.477225575051661
37.0,2.0,10623.700191493443,1267.397182370115,90.75325423238165,812.1729118124128,1.0,5.477225575051661
38.0,2.0,11367.418019316741,2598.919150060938,102.67638318388632,751.3870968636852,1.0,5.477225575051661
39.0,2.0,11408.716914964603,9261.080213736166,132.89748434091683,833.8880664403613,1.0,5.477225575051661
40.0,2.0,11494.912389355768,6986.427682661043,146.43101527257,833.3571057123644,1.0,5.477225575051661
41.0,2.0,11576.087933084176,10553.101633521535,133.13924449499,840.5858571674225,1.0,5.477225575051661
42.0,2.0,11728.01880738926,6528.4605299666055,144.09510665194026,768.5076984190712,1.0,5.477225575051661
43.0,2.0,11886.9336237927,770.9710933241511,108.82944870425922,857.3830232461246,1.0,5.477225575051661
44.0,2.0,12671.164079843466,12863.50385724882,126.79666678275937,878.1168236167341,1.0,5.477225575051661
45.0,2.0,13945.56894309386,7433.753434240633,137.31181045336854,846.3659871946135,1.0,5.477225575051661
